Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
Cpne1	309710	301792	312096	338606	227634	264298	252107	251252	247281	243157	253390	250206
Cpne2	15028	17039.9	18626.9	15263.2	17141.1	20265.4	14453.7	16036	13432.6	13546	13614	13471.1
Cpne3	107767	94130.5	94490.1	105104	108985	115217	96085	100474	87265.5	102327	102248	98636
Cpne4	11926.4	14041.2	10150.2	9696.71	4808.69	5455.12						
Cpox	143113	133735	146777	142239	265907	312728	282767	293143	177201	181808	189582	189306
Cpped1	191731	201309	222095	210761	184978	254666	242030	256027	137200	124587	128435	131101
Cpq	40512.8	42196.7	40599.1	66203.5	35479.2	30463.2	33967.7	19922.2	52312.2	53315.5	45174.5	46901.9
Cpsf1	87549	76797.3	78576.4	80243.7	67517.8	69189.4	65779.3	62804.1	65616.8	74091.6	75975.1	75042.8
Cpsf2	107341	98913	105671	115797	88197.8	89604.9	88320.7	89769.9	80629	90011.8	93651.9	91712.7
Cpsf3	92410.6	88938.4	94767.3	99118.6	83171.8	74902	75648.6	80248.7	81080.2	83169.5	72788.6	82228.1
Cpsf4	15770.7	13442	16632.6	21646.9	17091.2	18417.6	9941.61	14628	27944	21843.9	18722.2	17163
Cpsf6	130650	125997	146850	148298	123748	127934	123338	110813	127431	127178	122047	122811
Cpsf7	43356.1	44208.5	47427.9	47952.7	40922.5	38886.7	35338.5	40455.7	43863.7	41711.4	40003.5	45038.3
Cpt1a	7064.03	2530.7	3789.99	3466.05	3858.12	4115.71	2145.76	2369.48	9554.33	8114.15	9465.41	8248.62
Cpt2	53567.1	52704.5	56696	57100.1	61650.1	66061.3	69255.1	72900.8	74975.7	79136.3	73601.7	83662.6
Cptp	1676.35	2001.45	2178.62	2956.1		2591.58	6075.46	3768.99	5476.41	4857.21	4935.44	4530.65
Cr1l	52765.5	58684.9	52860.4	45720.2	59723.8	41734.9	38823.2	47697.6	58790.3	55488.2	56110.2	37623.4
Crabp2	4098.48	6139.79	5143.37	4744.3	4273.42	6725.47	8857.56	5352.89	11214.7	12890	11947.2	17351.8
Cracd	29742.4	34221.8	27698	27914.9	21909.3	20993	26415.6	26940.1	20370.1	23270.9	20897.2	23006.2
Cracr2a	75847.8	49967.3	65776.9	68165.4		77748.9	87348.5	74399.5		43258.7		38763.6
Cradd	42496.1	46427.8	30845.1	38761.9	29383.3	39441.4	43705.4	52511.2	38034	36452.4	32517.8	38285.1
Crat	45569	44524.5	33472	40121.1	36506.8	44629.6	40076.3	38725.9	35805.9	50248.8	39127.1	56158.3
Crbn	9484.45	10314.3	5618.05	13346.6	16693	15428.8	14276.1	17653.6	17333.4	15512.4	16022.3	17627.8
Crcp	16988.9	18393	21257.7	19496.1	13310.2	20168.4	14919.5	18090.9	20266.8	23080.6	17876.7	20338
Creb1	21834.6	24415	30517.7	28851.4	25214	21136.4	11812.9	12700.3	28634.5	25962.7	23576.8	19408.7
Crebbp	11085.9	13231	12598.9	12623.9	8656.52	9746.87	8338.45	7191.19	6428.56	6724.29	20261.3	11926.6
