Genes	N5CA1	N5CA2	N5CA3	N5CA4	V1	V2	V3	V4	N5FL1	N5FL2	N5FL3	N5FL4
0610009B22Rik	16303.7	19266.2	24090.2	20939.7	27147.1	14556.8	10475.9	12054.8	18052.6	23303.1	25216.6	23229.7
1700009N14Rik	7221.67	8410.1	7950.41	8551.91	8965.98	7242.88	8542.77		20670.1	1393.65	3907.09	8240.92
1810024B03Rik	21863.4	14660.5	23180.8	21537.9	27136.6	24112.2	18895.5	21530.8	18061.4	22392	29948.6	23261.8
2310061I04Rik	4447.14	4688.56	5504.16	2324.02	3820.98	2942.66	1079.17		6898.6	7407	7863.41	5555.6
2410002F23Rik	21041.1	21498.8	23350.7	21966.8	24974.6	27846.9	22821.2	18035.8	33908.6	34606.5	38363.8	34669.3
2700097O09Rik	3051.38	4340.66	4014.7	3199.81	2298.9	1805.17	3439.12	4283.24	1539.35	2933.04	3267.41	3889.71
4930433I11Rik	8830.05	10096		12133.8	22678.7	14761.9	4471.06		21341.1	13983.1	17105.3	12896.3
4930517N10Rik;Iqcf3	512902	514336	471600	500007	484565	545774	618021	553248	424929	527448	539625	578126
5031439G07Rik	40302.9	36867.1	38384	37396.2	55658	55809.7	55329.6	61470.6	18585.6	22338.9	21055.4	23422.5
8030462N17Rik	25076.5	27311.1	32097.3	26885.9	29106.6	33701.4	22096.2	24476.8	30716.5	30489.3	24646.9	25758
A2m	104996	91089.5	102636	58754.1	61802.6	57996.8	52738.3	38939.5	26696.4	38135.1	48114.2	58774.6
A630001G21Rik	8931.96	10003.8	5734.03	4178.55	9834.83	9041.75	7849.9	8430.05	7335.37	9633.01	6106.32	10309.8
Aaas	85542.6	72102.6	81594	81171.9	84834.8	84033.1	74059.6	70177.4	70258.2	71229	73710.3	71204
Aacs	120151	107664	113398	124329	148806	149015	129661	132795	143932	146817	141436	150596
Aagab	12647.1	17545.9	16273.4	17385.6	10570	14508.9	15731.5	11852.5	10422.8	8608.14	8757.14	14683.2
Aak1	50928.1	46938.3	51818.9	50122.9	79725.7	78010.7	62120.9	59749.8	42008.4	49667.3	46813.8	53091.8
Aak1;Bmp2k	20139.4	8504.73	9926.04	17106.8	27172	16265.6	16109.3	16264.1	26397.5	19776.8	21513.7	13432.4
Aamdc	23520.5	30787	27916.5	26279.8	23833.4	35959.3	29709.6	29781.3	30766.6	32112.3	33862.3	33462.4
Aamp	77681.1	77894.7	87064	82357.2	71747.6	80334.6	70686.7	75183.5	87238.1	91932.5	84160.8	86861.4
Aar2	33559.7	31767.9	40226.3	32393.8	28008.1	35324	27828.8	32816.8	21447.1	20054.9	21227	22626.7
Aars1	544789	534308	531399	565402	493648	512042	521852	504697	404128	411874	423255	456044
Aars2	25873.7	23228.9	25421.3	23368	28713.4	27918	28919.8	30089.7	21644.2	27496.8	30154	32431.5
Aarsd1	151184	155614	157095	156430	131757	152876	147364	155386	119143	125417	119923	134124
Aasdh	8837.52	6429.23	16251.9	20031.5		10025.7	6779.16	8925.06		27622.9	33639.6	13115.6
Aasdhppt	26638.5	30775.9	31552.1	31362.5	32526.6	30891.9	28831.4	27203.6	41672.9	39130.1	36014.1	38428.5
Aass						3716.21	2397.55	2022.72				
Aatf	69618.7	81439.2	71916.6	73954.6	44244.7	57790.4	64239.6	60491.7	75128.8	73233.3	69317	76392.3
Aatk			1167.58	869.743					7731.79	7382.25	9475.73	6131.5
Abat	44298.7	48717.3	45004.9	46492.7	72305.1	75903.6	49235.7	63858.3	41890	41066.7	40657.3	42732.1
Abca3	5250.87	7549.21	6772.59	3517.95	6498.18	4460.6	11579.7	6893.44	8532.15	7290.5	5341.01	5760.47
Abca7	5219.41	3697.04	843.187	3082.22	5002.21	3895.02	6534.9	4648.69	1326.55	2572.52	653.375	4331.05
Abcb1b	11964.1	11627.3	8154.91	8282.24	14713.7	13236.4	14085.5	11112.6	8806.31	9805.31	9754.83	13352.9
Abcb1b;Abcb6	28460.3	23156.3	18901.2	18313	26213.6	22647	22793.6	20329.6	10786.6	17323.9	15598.3	17104.1
Abcb6	177038	140406	133154	105236	137594	118868	121817	88290	81337.9	80659.5	61531.8	78484.4
Abcb7	70028.9	60298	55900.4	62865.2	67446.4	63920.7	56376	53100.9	60069	59143	68617.1	73735.2
Abcb8	11627.4	12048.5	12374.8	9617.26	11441.8	11567.1	14608.8	13135	10838.9	11181.1	15344.5	16330
Abcc1	27018.1	22253.5	24422.9	22901.7	10980.5	18942.1	20548.2	16764.2	13394	10422	15839.5	14156.8
Abcc10	6190.2	5447.57	3974.55	4011.53	5610.23	6948.2	3669.07	1629.44	1819.33	2458.94	1532.87	
Abcc4	29720.3	29883.1	22240.5	19997.3	19352.8	29233.8	26630.1	30917.1	13242.1	15687.9	15286.8	20009.8
Abcc5	20899	16543.8	10875.7	14627.3	20498.2	14550.3	17478	14979.6		6143.99	5998.64	3490.05
Abcd3	227016	216893	209551	192937	251483	223918	213742	185392	141222	131965	161016	214403
Abcd4	19592.6		19339.5	22511.6		21465.5				17220.3	16787.1	20461.8
Abce1	221582	205748	218896	227149	180270	174031	165191	168587	228174	233418	232900	239274
Abcf1	266434	263135	269969	272714	231490	240208	233157	226609	229080	260586	251846	279335
Abcf1;Prrc2b	29603.3	26165.8	15692.4	20836.5	27011.9	11380.6	21050.9	13236.7	14217.5	16188	27393.1	16667.8
Abcf2	276788	271417	292038	272560	201230	212263	224024	221087	275455	265405	279869	284155
Abcf3	70036.1	75870	76099.8	86758.3	80550.3	77657.9	72112.4	72746.1	71936.4	63204.7	65892.8	72557.1
Abcg2	5517.43		4861.83	7025.01	2919.83					5749.93	5617.98	5398.22
Abhd10	41960.5	45382.6	47319.7	47706.5	66947.2	89748.2	75656.4	76304.5	47788.2	51849	50251.7	50166.9
Abhd11	27921.7	26553.5	31824.4	30015.7	28342.4	34888.3	33150.7	28249.4	37533.7	49252.5	45301.7	49032.7
Abhd12	51450.9	47028.2	43399.6	39672.3	49487.1	50025.2	47634.8	45342.9	37186.5	34182.9	39924.4	40735.4
Abhd13	5912.89	2821.78	2694.35	3250.01	5593.23	2079.87	1792.01		4666.14	2546.15	2304.28	4377.45
Abhd14b	84784.6	95984.1	88878.3	98332.5	134258	123430	126328	128003	90773.7	92199.3	80110.6	79522.5
Abhd16a	26013.7	20339.8	17991.6	16478.2	13165.3	12955.4	12649.9	12741.3	13289	15843.5	19921.6	22110.4
Abhd17b	875.767		2933.74	4764.99	7459.09	5858.49	3574.37	3736.71				3900.83
Abhd4	20040.9	23222.7	18776.2	18763.1	30398.1	32710.4	41689.1	40913.7	25553.6	26800.6	26908.8	29869.8
Abhd5	22000.6	19939.1	19314.6	18931.9	21193.8	29468.6	35360.7	28005.7	12766.3	17280.3	15459.2	21733.8
Abhd6	15193	12154.9	15879.3	13498.1	3188.43	15693.5		5166.2	11982.5	15068	13479	16797.1
Abi1	137799	145374	155953	158214	141705	168106	141321	148501	94832	115789	98119.5	110588
Abi1;Abi2	32918.3	47433.7	49467.1	43408.1	31802	51023.8	39255.7	48849.6	38756.7	32670.1	29173.6	33434.8
Abi2	45615.3	51084.8	46650.9	43951.9	46969.9	59879.5	62282.7	60321.7	37053.6	33953.8	31385.3	38154.2
Abi3	17982.9		20786.2		14245.9	15343.1	13988.1	19485.3	7543.89	10453.8	10171	11599
Abitram	43755.6	39129.6	41383.8	41632.1	33448.1	44431.9	41607.7	55435.4	41943.3	44720.4	43404.7	51065.5
Abl2	10998.1	11945.4	10095.1	9209.92	8346.96	9262.16	12646.3	9783.4	7366.88	7530.92	7777.55	8295.4
Ablim1	67188.5	87974.8	72103.9	70852.1	89174.5	124210	97481	131031	87323.7	97527.9	84986.5	99197.8
Abr	32297.1	32492.4	34418.2	36615	21920.1	23175.1	18619.1	18292.9	15211.6	18858.6	18766.8	18761.2
Abracl	646160	621234	904893	980756	704395	692713	281998	303449	453187	503683	386624	460617
Abraxas2	60845.5	59661.6	55866.1	60091.3	68150.2	71063.3	68088.4	76115.6	53321.4	48789.8	52872.2	59329.2
Abt1	43827.5	50166.7	48228.3	48283.1	42658	46832.6	43305.4	51839.8	56472.2	53862.5	54063.2	49634.6
Abtb3	36000.4	31028.9	37160.1							59897.7	52744.7	
Acaa1a	171699	184199	174811	165165	217280	258765	263806	274795	153651	179604	159952	205604
Acaa2	73427.9	83313.9	82898.1	79189.3	114746	130282	110051	118256	106354	115595	112248	122135
Acaca	89369	80760.2	75613.4	82749.7	77459	70497.5	65310.3	60791.8	76895.9	84771.1	87457.5	90577.6
Acaca;Acacb	72187.6	77404.4	72075.9	69301.7	67885.3	67118.2	54811.5	50024.7	73172.1	75694.8	72780.2	77457.2
Acad10	67189.6	57865.9	60265.8	60338.1	89015.8	97229	98708.9	92749.9	76538.9	89908.1	84221.4	96262.4
Acad11	30092.3	35790.4	30220	26734.7	45499.4	37899.8	45452	47177.4	38941.3	42432.2	41260.2	52239.6
Acad12	11627.5			19663.6	25155	21976.4	19286.9	25776.5	29971.2	27905	29418.3	22496.6
Acad8	68056.5	63738	68326.7	65745.8	88724.2	92650.9	89197.4	91022.9	90898.6	86685	85400.8	80236.7
Acad9	86077.3	77294.9	84578.5	91486.3	112465	120818	103935	96573.5	89390.1	104001	107192	109606
Acadl	189910	185908	200478	215519	276062	269910	225810	246042	230330	224489	222256	193052
Acadm	234480	263304	233653	228569	194670	211234	212990	210533	265822	232527	225338	234012
Acads	301227	317660	337632	320215	345121	437861	413728	396338	321164	328469	332955	319963
Acadsb	135483	118930	127462	129046	143361	147546	158889	142583	147975	153031	155827	161779
Acadvl	64651	60315.1	68009.7	65253.3	84497.1	80201.3	77711	71458.9	108554	120769	113739	115484
Acap2	24781.6	23024.4	25616.2	25864.8	34758	32204	30860.2	29677.2	21279.2	24714.2	22781.7	27251.1
Acat1	424922	466696	495989	440951	492613	560964	451392	490332	287051	312372	304979	325491
Acat2	357474	436575	381604	375144	456693	505845	602031	572906	246766	239733	208039	263285
Acbd3	67070.5	67816.2	77824.4	74709	90661.4	81038.2	63247.9	55274.1	77913.2	68451.1	65670.5	66499.9
Acbd5	15178.1	10118.9	10814	7886.73	8302.98	10907.8	11594.2	8561.46	5432.01	9281.4	9503.33	12561.3
Acbd6	99456.2	97767.3	103169	105163	76403.2	83803.4	74030.2	85743.4	93699.9	106322	104422	106277
Accs	919.618			2815.7	13612.2	8820.85	1787.42	10991.4	4794.06	8290.45	10414.9	6037.91
Acd	1936.78	2197.36	1671.02	1402.11	1090.12	1405.91	1191.6	2321.8	1706.19	1706.22	1801.48	921.275
Acer3	16346.8	16387.4	10080.2	11602.4	8853.72	10994.9	7487.92		19689.2	15630	18168	20537.9
Acin1	143806	147676	155242	161313	124987	146010	138363	132421	128969	127963	122895	132351
Acly	502407	449327	424338	464061	524221	472899	515225	463577	493553	523118	531818	551919
Aco1	112361	108715	108934	116173	129625	134156	137774	141159	118924	132006	121344	144905
Aco1;Ireb2	49115.9	54379.2	61119	69927	80186.7	61763.5	84257.3	71610.3	81376.6	73585	84595.3	50669.1
Aco2	593142	655639	655406	590367	606775	607299	579320	570511	697623	692760	707307	711734
Acot1	50496.3	42008.1	52731.1	51283.3	39659.3	42593.6	35130.9	31860.4	66329.8	53746.4	43604.6	41552.4
Acot13	103821	102989	137216	129503	110662	143308	166096	136352	112218	104969	120578	101348
Acot1;Acot2	246463	242079	251010	359914	393432	347792	329343	361471	608772	579226	551432	563908
Acot1;Acot2;Acot3	130514	140574	117704	159613	183089	203862	227141	269080	311497	269889	258807	311837
Acot1;Acot3	40642.4	45480.3	40757.1	40690	34178.4	27017.1	35242.3	28411.8	47574.2	40043.7	39499.5	34962.7
Acot2	34254	40860.6	38611.5	58102.1	60780.9	66312.3	63896.1	68007	102999	113599	110110	104619
Acot7	477784	470350	496411	492962	509973	527705	548257	574617	617244	649622	623929	596561
Acot8	11283.3	15900.5	14197.9	15560.4	17756.8	23855.4	25811	27385.4	20245.7	18826	24119.6	19595.3
Acot9	110895	108587	121982	135896	115762	125764	94624.5	104147	151506	149098	147193	146234
Acox1	27043.8	23621.6	25123.5	25715.5	48185.9	42107.6	38569.8	41393.2	56332	56749.2	55220.7	52648.8
Acox3	20540.9	19505.1	18424.8	22862.9	26680.5	30001.6	30557.5	27684.5	22676.5	27838.3	25051.9	28866.5
Acp1	495145	595620	608451	586476	377133	597752	600267	670851	588199	626943	614862	686503
Acp2	36221.3	31108.7	33432.6	30169.5	26309.9	24101.6	28529.9	20945.9	30509.2	36460.6	36104.8	32684
Acp6	35247.6	33226	33519	33575.3	47929.4	47208.6	48902.1	50013.8	52774	56756.2	54174.1	52030.8
Acsf2	66331.7	59516.6	62709.3	62901.3	102190	97535.4	93177.6	99228.5	47411.7	47425.5	46228.2	48301.8
Acsf3	50765.5	53077.9	46990.3	54354	58422.6	67871.5	63622.7	63360.8	53082.2	62375.3	58444.9	68840.7
Acsl1	70041.8	60192.6	56449.6	51680.4	49617.6	54973.8	54182.6	47206.3	71944.1	92830.9	91221.9	100303
Acsl3	92746.7	76597.4	78208.5	88569.4	64216.3	56444.5	54447.3	52532	52554	49997.8	60380.4	60483.8
Acsl3;Acsl4	76897.4	71356.4	57054.7	58498.4	62978.2	55357.6	78277.2	45708.7	47695.7	11790.8	65736.8	61180.3
Acsl4	41217.7	35442.8	34364.8	38950.4	48772.8	47865.5	50635.1	44616.9	38678.4	44904.9	44854.5	47971
Acsl5	126698	114043	106637	107838	108878	102963	100875	88318.7	120980	122711	145100	158480
Acss2	28626.9	28773.9	24535	26326	33110.3	33881.6	26636.3	25478.1	25256.1	33818.7	27186.7	35084.1
Actb	6.69E+06	6.85E+06	6.93E+06	7.03E+06	5.56E+06	6.24E+06	6.13E+06	6.30E+06	5.96E+06	5.70E+06	5.92E+06	5.58E+06
Actb;Actc1;Actg1	6.87E+06	8.66E+06	2.84E+06	2.58E+06	3.23E+06	3.16E+06	7.15E+06	9.11E+06	3.03E+06	2.86E+06	4.28E+06	4.76E+06
Actb;Actg1	4.49E+06	3.91E+06	4.74E+06	4.29E+06	3.16E+06	3.58E+06	3.02E+06	2.82E+06	2.87E+06	3.47E+06	3.42E+06	3.60E+06
Actbl2	2.82E+06	3.21E+06	3.01E+06	3.03E+06	2.39E+06	2.48E+06	2.57E+06	2.47E+06	2.53E+06	2.73E+06	2.54E+06	2.72E+06
Actc1	1.11E+06	1.25E+06	1.34E+06	1.39E+06	1.45E+06	989194	711936	657923	1.46E+06	1.41E+06	1.31E+06	1.17E+06
Actg1	7545.58	34595.4	8015.59	14856.1	8567.94		8750.87	11628.7		8636.61		
Actl6a	196873	209879	216821	208109	161044	178742	175560	173390	129593	130906	127158	142259
Actmap	16951	15351.4	10779.8	14873.7	16433.7	17049.4	16803.4	17344.2	28671.9	18638.1	21662.6	21688.2
Actn1	180461	172776	198771	200081	145747	152829	110847	109794	151345	154939	152987	143830
Actn1;Actn2	23427.9	22518.4	24157.5	28460.4	26313.9	24583.2	18898.2	18831.7	20986.7	22713.8	21317.9	22433.5
Actn4	1.69E+06	1.72E+06	1.83E+06	1.79E+06	1.41E+06	1.53E+06	1.24E+06	1.18E+06	1.86E+06	1.90E+06	1.85E+06	1.88E+06
Actr10	46671.7	37862	43157.4	41411	37884.6	40726.3	34594.2	36284.3	42714.3	48260	50604.6	44650.4
Actr1a	114674	122966	117805	131408	106780	109180	113089	107634	156737	149855	149886	133491
Actr1a;Actr1b	377115	358034	361067	364060	324873	378450	385777	387783	324737	351473	314740	388312
Actr1b	193069	212101	245554	235409	240680	237781	216568	242177	260865	270893	209032	230511
Actr2	416191	401669	425547	416675	478512	419521	383638	394037	503163	514140	513141	488484
Actr3	904141	827848	928233	946416	988328	942862	884211	880119	1.13E+06	1.10E+06	1.09E+06	1.04E+06
Actr5	19873.9	21270.4	20010.1	19869.1	15804.3	17256.4	20194.1	18241.6	12920.2	15514.1	14920	18205
Actr6	21727.9	21193.5	19008.2	21093.8	12947.3	16182.9	21056.6	11950.3	9950.73	15232.7	11315.6	17841.2
Actr8	10446.5	10482.8	9311.42	10939.4	7365.77	6401.44	9455.3	6421.56	9156.76	6768.36	5767.17	7588.34
Acvrl1	19876.5	16763.4	18427.1	22096.6	21893.3	21891.3	21036.9	20450.7	4155.6	7479.32	8873.23	10221.3
Acy1	37515.1	50577.8	42049.5	44515.5	49169.9	52252.3	54794.5	51583.5	38852.3	39198.7	38603.8	42448.4
Acy3	30029.4	26031.6	27001.7	23555.6	53434.2	50917.6	51870.4	53297.5	46977.3	47223.1	47450.8	46970.2
Acyp1	122313	139899	142647	176146	185217	202980	152953	162069	222493	229137	217393	219702
Acyp2	23066.8	21044.3	25027.2	22979.6	32140.4	26971.9	23550.8	25899.5	35957.2	46054.2	37739.6	33886.4
Ada	25883.2	25336.7	30210.1	27737.4	31432.3	41324.5	37887	39939.6	21874.8	17370.1	22456.5	22319.3
Adam10	50469	37884.2	39898.6	36146.7	48934.1	55056.8	53090.1	54935.2	47452.9	45398.1	50117.6	53295.2
Adam15	5669.04	5902.73	6907.57	6143.75	3713.32	7662.47	7984.06	8878.68	5347.97	6948.63	5606.77	7676.87
Adam17	32548.1	29364.4	29529.3	28065.1	30143.1	26848.6	26866.6	25572.1	30587.2	30348	33731	36291.5
Adam9	15479.2	12484.7	12194.1	10736.7	9290.31	11447	12193.3	5700.22	12762.3	7791.6	8751.34	8864.3
Adamts1	39071.1	39403.4	34149.7	30619.1	31490.5	42280.1	41985.2	37302	26967.7	26951.3	34842.4	36669.3
Adamts4	57161.2	73496.5	37946.3	52190.7	56910.4	46341.2	71999.8	64387.6	37158.8	32937.2	43404.3	46704.5
Adar	63243.2	62945.2	58984.7	34711.5	47467.8	57671.1	58099.7	47306.7	51935	43993.2	49466.5	56650.9
Adat1	8500.77	8981.59	8239.99	8169.76	11639.4	10765.5	7469.5	9897.15	8196.97	11477.4	10010	12210.5
Adat2	28759.7	26941.2	32377.9	25837.2	17707.1	25391.2	26932.9	28792.5	17071.8	23209.2	24065	29247.9
Adat3	5492	6207.99	6984.96	5175.8	2852.21	3468.37	3071.25	2947.35	1920.12	3463.47	3445.9	4621.54
Adck1	20388.9	16482.3	19904.6	18055.7	26245.3	17801.3	20484.9	18466.7	11848.1	18118	18410	21854.9
Adck5	3108.41	2357.04	3979.53	3821.36	2827.82	3184.09		1704.24	9066.66	8317.58	9296.46	6106.08
Adcy3	14711.7	12582.5	15665.9	12125.6	17286.9	9854.55	12852.2	9396.59	10590.1	10050.9	14268.5	13811
Adcy7	5772.52	3279.93	5097.87	3415.78	9110.25		5640.68	3850.77	3903.04	4566.09	4614.83	4832.26
Add1	26761.1	26196.5	27342.5	31375.4	28569.8	29061.9	27131.8	26250.6	26423.8	24443.5	25120.1	25063
Add3	25438.6	30061.5	31274.8	28445.3	30754.2	27725.1	31141.7	32264	25154.4	26725.2	26461.4	30776.7
Adgra2	10445.6	9003.95	8103	5549.39	3389.77		6303.36	4929.48	1579.24	4186.59	3829	3036.65
Adgre5	20870.9	22273.2	21814.9	20405.5	26815.1	31605.6	29624.1	25790	13681.2	16207.5	13299.6	15525.1
Adgrf5	209674	195531	206706	192610		192885	213963	242214	161579	284965	288248	400338
Adgrg1	65116.3	66562.4	71419.1	57087.8	104326	126190	116613	118109	33524.7	30216.7	31510.4	27624.5
Adgrg6	44169.5				23083.8	47870.1	61338.8	50706.1	16742.2		28716.3	50294.4
Adgrl1;Adgrl2	30699.1	34368.8	22926.1	17123.9	14338.8	16208.8	21367	20238.4	7492.65	13062.4	11967.4	15955
Adgrl2	74069.6	68112.1	76444.9	65765.6	53918.3	56923.3	51246.2	55295.7	44094.8	43073.2	44218.1	44679.9
Adh5	192950	169181	197249	211125	166071	213159	214912	276242	211191	218557	213686	178715
Adh5;Adh7	22850.4	25531.6	25458.7	23262.7	31832.3	26231.6	25609.1	18680.6	31540.8	32242.8	32063.6	21566.4
Adh7	187024	158370	174355	150351	70329.4	84322.3	76168.7	92948.9	168923	177974	176399	162556
Adhfe1	18892.9	27472.7	19798.6	21709.9	33657.8	34070.6	34102.9	36520	12805	14835.2	15044.6	13447
Adi1	85997.3	98360	99030.1	92615.4	102928	101679	102434	102865	48689.8	49626.9	41820.6	45298.5
Adipor1	4480.52	5655.18	8532.13	2939.21	13599.8	10417.7	6711.57	7952.07		3192.45	6353.85	1107.75
Adissp	33868.4	28027.8	36065.6	40498.9	35654.2	53780.2	37434.2	39639	34866.2	35795.1	33690.9	28668.9
Adk	134183	125955	140251	137377	120080	119856	102379	105961	165157	148628	154310	154008
Adnp	85024.9	85111.7	84867.8	83787.8	63266.1	71083.7	82134	75049.2	53954.1	61345.6	57454.1	66422.7
Ado	63847.4	53775.3	66287.1	68788.8	49496.8	50045.5	48627.6	56878.2	45592.9	54588.6	50433.8	47211.3
Adpgk	81906.6	64663.7	71014.9	63868.3	60379.8	61553.9	55232.2	51855.3	74719	96803.9	95579.4	98628.3
Adprh	56296	51383.6	54293.7	65933	90907.6	80732.5	67392.8	69370.8	75980.9	76944.4	72278.1	66145.7
Adprm	16671.7	18181	21609.4	19633.9	22948.2	23827.4	17800.1	17366	25083.2	26363.5	24798.6	29106.4
Adprs	44438.2	46230.3	43862.6	43662.8	37349.1	48260	50582.4	49253.9	42688.9	43600.7	37693.1	47108.8
Adrm1	159592	142383	192962	199739	132482	140605	135496	130116	209674	198085	189903	147387
Adsl	265725	249701	259926	261308	214372	239767	228760	216356	198735	219751	211903	235727
Adss1	62445.8	67904.9	64371.5	58772.1	47606.1	40182.1	43065.8	38969.5	144918	158542	155560	164421
Adss1;Adss2	96880.5	97762.3	110871	84774.1	42532.6	68442.5	77684.8	89706.8	90841.7	109662	109652	142904
Adss2	307543	334869	327294	309878	209425	236099	239946	274867	343177	339654	302583	346434
Aebp1	30909.6	34520.5	30845.6	31889.6	30322.8	34384.8	33410.5	34220.7	20826.7	18913.2	17370.2	22008.6
Aebp2	49879.7	64178.8	47949.1	54937.2	34240.2	50908.3	70701.5	66138	29905.9	37172	32459.9	39450.7
Aen	23473.9	23964.2	24149.5	20460.7	10371.4	13184.7	14422.3	13627.9	10123.6	11574.8	11363.7	13333.2
Afap1	15049.2	16088.2	15150.2	15961.8	15143.7	15885.3	10980.5	13362.1	13882.2	13898.1	11081	15630.4
Afap1l2	31570.6	35754.8	32003.5	34907.8	20166.4	45557.2	62911.4	71932.8	75122.6	85859.8	76712.6	91533
Afdn	84190.5	83925.3	81801	84722	69964.1	74138.7	70210.5	65211.2	50206.1	53629.3	53240.2	61732.2
Aff4	54994.6	67533.4	63393.5	64382.7	59651.7	66522.5	69815.1	50882.3	34034.7	60887	41944.2	67371.5
Afg1l	1836.14	1181.49	1213.81	3306.22	3343.52	2948.84	2424.43	1399.69	3852.3	5525.65	2638.15	3393.55
Afg2a	1.18E+06	1.29E+06	1.21E+06	1.38E+06	1.31E+06	1.53E+06	1.57E+06	1.50E+06	1.18E+06	1.21E+06	1.25E+06	1.42E+06
Afg2b	19323.9	14730.5	17285.1	16472	19250.7	21203.9	26104.1	23737.5	20774	17745.1	18829.1	23706.8
Afg3l1	35698.4	35411.6	37031.7	36226.9	35815.5	37254.7	33095.1	35809.5	29620	31330.3	32807.2	34423.3
Afg3l1;Afg3l2	4304.87	6456.03	6320.36	6614.39	9421.17	6771.95		3063.68	14894.6	8304.12	11687.8	6129.45
Afg3l2	64876.8	66991.4	57754.5	51950.4	58937.1	64030.7	64103.9	62088.6	61525.2	67056.6	65644.7	78340.9
Afg3l2;Ank2	10814.9	13182.2	9738.41	13179.9	13326.8	12494.1	9562.12	8019.64	12506.2	11322.8	14139.9	11820.2
Afm	12414.3	8854.59	9961.93	4702.75	3386.66	3427.85	6387.85	4710.45	1794.96		4171.13	3944.31
Afmid	3937.89	3689.58	4208.13	4511.95		6046.07	5091.35	3741.32	4541.47	4306.09	5183.07	3085.86
Aftph	19025.9	18102.7	19774.7	19703	15615.6	23243.8	18467.3	23974.1	21802.1	22518.3	21900.9	22724.5
Aga	319282	343289	317953	318241	169963	208698	209664	241196	347193	356882	374662	459315
Agap1	21795.5	28412.3	25814.5	26890.5	20587.9	25436.8	29303.5	29553	22953.1	25417.3	26942.8	30348.1
Agap1;Agap3	7407.68	5706.53	5300.32	4912.11	7453	6273.47	6473.77	7142	6040.84	5324.25	4397.16	8946.5
Agap3	27321.2	26109.2	26797.6	27732	23682.1	22383.4	29827.2	13826.8	22359.3	27316.8	24688.9	32197.5
Agfg1	55620.6	64581	72138.6	76143.5	66384	73677.3	63999.3	64422.8	53050.1	51300.1	52593.2	55152.3
Agfg1;Agfg2	51679.1	49621.6	63220.9	64638.1	59916.8	67582.6	31022.2	43702.8	62504.2	54166.8	47253.8	48601.5
Agfg2	6116.87	8290.85	6751.19	6784.18	4002.53	5447.97	7508.27	3741.95	4347.25	5078.91	6146.88	8574.75
Agk	59531	55329	53330.1	53447.4	57597.9	55974.1	53719.5	53763.6	49465.8	50532.8	60053.9	61375.6
Agl	108847	107595	104454	94038.3	104699	105341	95249	95513.6	95413.4	101326	101077	115357
Ago2	73803.4	62924.2	65503.2	66863.4	60798.3	65043.7	57816.4	57694.6	62181.7	68832	67942.7	76563.6
Agpat1	75856.3	57271.3	50826.9	48118.7	45693.8	46502.7	47949.1	46990.9	40089.7	51007.7	52635.6	68233.9
Agpat3	13097.1	9414.52	8701.12	9035.4	15399	11960	7332.9	7170.38	7963.56	9778.06	11341.3	11026.6
Agpat4	16620.3	12340.1	14058.7	15413.9	14387.3	13023.3	12395.6	5877.4	21165	18096	20742.6	10205.5
Agpat5	48974.5	39236.7	37305.9	40503.8	32732.4	32847.8	30321.9	35874.1	49469.3	43617.3	58663.2	50942.3
Agps	60828.2	63415.8	66241.8	65732.6	62616.2	56380.8	55091.8	55589.4	61658.5	63534.8	64355.1	56904.8
Agrn	4578.57			3357.91	9078.71	6875.4	8458.93	9413.06	13103.1	10789.1	10131.7	12385.1
Agt		5461.52		9295.92	13810.5	16104.4	15252	17944.6		9586.07	7297.06	16207.1
Ahctf1	57782.1	63751.8	60842.5	63842.9	53244.3	56134	49626.1	45714	54827.2	53014.6	52189.1	56411.7
Ahcy	587031	587456	641298	633071	655355	668353	567119	556519	672808	668086	640401	622084
Ahcyl1	111533	104411	116354	115005	142750	148989	148282	148842	116353	107428	107952	106321
Ahcyl2	108271	96214.5	95152.1	110716	144606	124312	118903	130722	104730	95989.3	90437.1	98997.8
Ahdc1	28103.2	29269.1	21312.4	21979.1	15790.1	14308.1	23777.4	21098.4	16304.4	16200.6	19057.6	28210.2
Ahi1	17048.5	17952.2	15593.9	16773.8	11626.8	16798.4	13023.2	19297.1	14788.9	14387.6	17561.9	19085.8
Ahnak	200786	223447	219610	228208	199331	226044	213998	211743	591193	588135	550782	594103
Ahnak2	429994	477227	492975	563659	740603	814231	649165	713284	944380	922971	883165	926906
Ahr	15888.7	12396.6	16511.8	15268.6	13705.2	26099.4	8214.31	13353.2	19352	21211.6	27265.5	32676.7
Ahsa1	248095	250158	260411	270691	223111	218563	193871	198293	274441	264264	262361	233547
Ahsa2	41917.6	36463.4	43278.9	44870.6	47587.5	47736.8	50819	45823	42826.1	50303.6	49862.1	41918.8
Ahsg	256443	235877	301205	200127	195983	181468	175389	160430	128500	143065	138643	113170
Aida	23231.9	27888.1	21566.5	17452	19822.5	17199.5	14444.8	15729.8	30484.6	24398.9	24849.2	23136.4
Aifm1	167840	176418	172948	175336	188492	199567	198681	192961	191384	189375	193019	216522
Aifm2	6693.98	6837.61	9936.67	9314.59	11419.2	16613.2	11551.8	12588.5	10314.8	12302.3	12676.4	13512
Aimp1	217949	240306	227070	227842	199143	212551	232283	220578	238466	256893	254750	264104
Aimp2	212379	201481	204169	195927	182522	204267	174225	190391	243667	286640	272899	293425
